Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	35315749.5	35315749.5	35315749.5	35315749.5	0	0	0	0	0	0	3
2	1	0	0.05	16683767.2	25999758.3	16683767.2	35315749.5	9315991.13	0	0	0	0	0	3
3	1	0	0.075	14173663.4	22057726.7	14173663.4	35315749.5	13258022.8	0	0	0	0	0	3
4	1	0	0.1	12293501.2	19616670.3	12293501.2	35315749.5	15699079.1	0	0	0	0	0	3
5	1	0	0.125	11692118	18031759.8	11692118	35315749.5	17283989.6	0	0	0	0	0	3
6	1	0	0.15	11072991.4	16871965.1	11072991.4	35315749.5	18443784.4	0	0	0	0	0	3
7	1	0	0.175	11780924.7	16144673.6	11072991.4	35315749.5	19171075.8	0	0	0	0	0	3
8	1	0	0.2	11663219.1	15584491.8	11072991.4	35315749.5	19731257.7	0	0	0	0	0	3
9	2	0	0.225	12288228.8	15218240.4	11072991.4	35315749.5	20097509.1	0	0	0	0	0	3
10	2	0	0.25	12236418.8	14920058.2	11072991.4	35315749.5	20395691.3	0	0	0	0	0	3
11	2	0	0.275	12393091.7	14690334	11072991.4	35315749.5	20625415.5	0	0	0	0	0	3
12	2	0	0.3	12670151.2	14521985.4	11072991.4	35315749.5	20793764.1	0	0	0	0	0	3
13	2	0	0.325	12730576.2	14384184.7	11072991.4	35315749.5	20931564.8	0	0	0	0	0	3
14	2	0	0.35	13471713.3	14319008.2	11072991.4	35315749.5	20996741.3	0	0	0	0	0	3
15	2	0	0.375	18076678.3	14569519.5	11072991.4	35315749.5	20996741.3	0	0	0	0	0	3
16	2	0	0.4	14956393.6	14593699.1	11072991.4	35315749.5	20996741.3	0	0	0	0	0	3
17	3	0	0.425	12883196.9	14493081.4	11072991.4	35315749.5	20996741.3	0	0	0	0	0	3
18	3	0	0.45	12919847.1	14405679.5	11072991.4	35315749.5	20996741.3	0	0	0	0	0	3
19	3	0	0.475	12922396.5	14327611.9	11072991.4	35315749.5	20996741.3	0	0	0	0	0	3
20	3	0	0.5	12942824.7	14258372.6	11072991.4	35315749.5	21057376.9	0	0	0	0	0	3
21	3	0	0.525	12950540	13140112.1	11072991.4	18076678.3	7003686.85	0	0	0	0	0	3
22	3	0	0.55	12963882.1	12954117.8	11072991.4	18076678.3	7003686.85	0	0	0	0	0	3
23	3	0	0.575	12974692	12894169.3	11072991.4	18076678.3	6722501.04	0	0	0	0	0	3
24	3	0	0.6	12991050.6	12929046.7	11072991.4	18076678.3	5137590.57	0	0	0	0	0	3
25	4	0	0.625	13009683.6	12994925	11072991.4	18076678.3	3977795.83	0	0	0	0	0	3
26	4	0	0.65	13026111.3	13092581	11663219.1	18076678.3	3250504.34	0	0	0	0	0	3
27	4	0	0.675	13050133.6	13156041.5	11663219.1	18076678.3	2690322.53	0	0	0	0	0	3
28	4	0	0.7	13074478.4	13226604.4	12236418.8	18076678.3	2324071.09	0	0	0	0	0	3
29	4	0	0.725	13099150.5	13267150.5	12236418.8	18076678.3	2025888.93	0	0	0	0	0	3
30	4	0	0.75	13122720.4	13311465.6	12393091.7	18076678.3	1796164.7	0	0	0	0	0	3
31	4	0	0.775	13142004.2	13348911.2	12670151.2	18076678.3	1699529.87	0	0	0	0	0	3
32	4	0	0.8	13164769.3	13373642.1	12730576.2	18076678.3	1699529.87	0	0	0	0	0	3
33	5	0	0.825	13184268.6	13396326.7	12883196.9	18076678.3	1699529.87	0	0	0	0	0	3
34	5	0	0.85	13201060.2	13382794.1	12883196.9	18076678.3	1699529.87	0	0	0	0	0	3
35	5	0	0.875	13216253.5	13139772.8	12883196.9	14956393.6	1699529.87	0	0	0	0	0	3
36	5	0	0.9	13227825.7	13053344.4	12883196.9	13227825.7	344628.788	0	0	0	0	0	3
37	5	0	0.925	13242966.8	13071332.9	12919847.1	13242966.8	323119.759	0	0	0	0	0	3
38	5	0	0.95	13256605.1	13088170.8	12922396.5	13256605.1	334208.694	0	0	0	0	0	3
39	5	0	0.975	13269917.7	13105546.9	12942824.7	13269917.7	327093.021	0	0	0	0	0	3
40	5	0	1	13282030.8	13122507.2	12950540	13282030.8	331490.733	1050553.03	0	100	0	0	3
41	6	0	1.025	13292645.2	13139612.5	12963882.1	13292645.2	328763.027	1050553.03	0	100	0	0	3
42	6	0	1.05	13304223.4	13156629.5	12974692	13304223.4	329531.406	1050553.03	0	100	0	0	3
43	6	0	1.075	13318794.5	13173834.7	12991050.6	13318794.5	327743.951	1050553.03	0	100	0	0	3
44	6	0	1.1	13332911.8	13181409.8	12991050.6	13332911.8	341861.189	1050553.03	0	100	0	0	3
45	6	0	1.125	13345492.3	13198287.9	13009683.6	13345492.3	335808.755	1050553.03	0	100	0	0	3
46	6	0	1.15	13358171.3	13214882.6	13026111.3	13358171.3	332060.01	1050553.03	0	100	0	0	3
47	6	0	1.175	13369221.1	13231221.2	13050133.6	13369221.1	319087.451	1050553.03	0	100	0	0	3
48	6	0	1.2	13379418	13246901.4	13074478.4	13379418	304939.617	1050553.03	0	100	0	0	3
49	7	0	1.225	13388632.1	13261861.1	13099150.5	13388632.1	289481.648	1050553.03	0	100	0	0	3
50	7	0	1.25	13397239.8	13276055.8	13122720.4	13397239.8	274519.408	1050553.03	0	100	0	0	3
51	7	0	1.275	13405176.8	13289506.1	13142004.2	13405176.8	263172.55	1050553.03	0	100	0	0	3
52	7	0	1.3	13412177.8	13302371.5	13164769.3	13412177.8	247408.524	1050553.03	0	100	0	0	3
53	7	0	1.325	13419322.7	13314493.1	13184268.6	13419322.7	235054.111	1050553.03	0	100	0	0	3
54	7	0	1.35	13424776.5	13325945.9	13201060.2	13424776.5	223716.32	1050553.03	0	100	0	0	3
55	8	0	1.375	13430333	13336863.6	13216253.5	13430333	214079.475	1050553.03	0	100	0	0	3
56	8	0	1.4	13434963.3	13347278.4	13227825.7	13434963.3	207137.686	1050553.03	0	100	0	0	3
57	8	0	1.425	13439508	13357358.5	13242966.8	13439508	196541.154	1050553.03	0	100	0	0	3
58	8	0	1.45	13443082.9	13366887.8	13256605.1	13443082.9	186477.741	1050553.03	0	100	0	0	3
59	8	0	1.475	13446291.6	13375920.5	13269917.7	13446291.6	176373.908	1050553.03	0	100	0	0	3
60	8	0	1.5	13450774.6	13384532.7	13282030.8	13450774.6	168743.851	1050553.03	0	100	0	0	3
61	8	0	1.525	13456018.2	13392817.8	13292645.2	13456018.2	163373.04	1050553.03	0	100	0	0	3
62	8	0	1.55	13462004	13400882.6	13304223.4	13462004	157780.626	1050553.03	0	100	0	0	3
63	9	0	1.575	13469261.5	13408741.5	13318794.5	13469261.5	150467.025	1050553.03	0	100	0	0	3
64	9	0	1.6	13476719	13416261.7	13332911.8	13476719	143807.268	1050553.03	0	100	0	0	3
65	9	0	1.625	13484311.6	13423471.2	13345492.3	13484311.6	138819.228	1050553.03	0	100	0	0	3
66	9	0	1.65	13490604.3	13430381.3	13358171.3	13490604.3	132433	1050553.03	0	100	0	0	3
67	9	0	1.675	13500660.5	13437166.5	13369221.1	13500660.5	131439.374	1050553.03	0	100	0	0	3
68	9	0	1.7	13508036.3	13443776.8	13379418	13508036.3	128618.27	1050553.03	0	100	0	0	3
69	9	0	1.725	13516086.9	13450284.8	13388632.1	13516086.9	127454.818	1050553.03	0	100	0	0	3
70	9	0	1.75	13520389.1	13456559	13397239.8	13520389.1	123149.28	1050553.03	0	100	0	0	3
71	10	0	1.775	13525191.5	13462651.9	13405176.8	13525191.5	120014.762	1050553.03	0	100	0	0	3
72	10	0	1.8	13529062.8	13468551.2	13412177.8	13529062.8	116884.985	1050553.03	0	100	0	0	3
73	10	0	1.825	13533629.2	13474334.6	13419322.7	13533629.2	114306.512	1050553.03	0	100	0	0	3
74	10	0	1.85	13537795.6	13479976.2	13424776.5	13537795.6	113019.025	1050553.03	0	100	0	0	3
75	10	0	1.875	13542022.2	13485559.3	13430333	13542022.2	111689.215	1050553.03	0	100	0	0	3
76	10	0	1.9	13546359.3	13491084.4	13434963.3	13546359.3	111395.934	1050553.03	0	100	0	0	3
