Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	37070698.1	37070698.1	37070698.1	37070698.1	0	0	0	0	0	0	3
2	1	0	0.05	24721864.8	30896281.5	24721864.8	37070698.1	6174416.69	0	0	0	0	0	3
3	1	0	0.075	24855503.9	28882688.9	24721864.8	37070698.1	8188009.2	0	0	0	0	0	3
4	1	0	0.1	23550571	27549659.5	23550571	37070698.1	9521038.68	0	0	0	0	0	3
5	1	0	0.125	19243808.2	25888489.2	19243808.2	37070698.1	11182208.9	0	0	0	0	0	3
6	1	0	0.15	19214333.3	24776129.9	19214333.3	37070698.1	12294568.3	0	0	0	0	0	3
7	1	0	0.175	19457613.8	24016341.9	19214333.3	37070698.1	13054356.3	0	0	0	0	0	3
8	1	0	0.2	19669546	23472992.4	19214333.3	37070698.1	13597705.8	0	0	0	0	0	3
9	2	0	0.225	20045365.7	23092145	19214333.3	37070698.1	13978553.2	0	0	0	0	0	3
10	2	0	0.25	19748194.3	22757749.9	19214333.3	37070698.1	14312948.2	0	0	0	0	0	3
11	2	0	0.275	20690219.8	22569792.6	19214333.3	37070698.1	14500905.5	0	0	0	0	0	3
12	2	0	0.3	20662237	22410829.7	19214333.3	37070698.1	14659868.5	0	0	0	0	0	3
13	2	0	0.325	20607196.8	22272088.7	19214333.3	37070698.1	14798609.5	0	0	0	0	0	3
14	2	0	0.35	20144493.4	22120117.6	19214333.3	37070698.1	14950580.6	0	0	0	0	0	3
15	2	0	0.375	20213906.6	21993036.8	19214333.3	37070698.1	15077661.3	0	0	0	0	0	3
16	2	0	0.4	20057834.6	21872086.7	19214333.3	37070698.1	15198611.4	0	0	0	0	0	3
17	3	0	0.425	20272440.3	21777989.9	19214333.3	37070698.1	15292708.3	0	0	0	0	0	3
18	3	0	0.45	20177422.1	21689069.4	19214333.3	37070698.1	15381628.7	0	0	0	0	0	3
19	3	0	0.475	20257529.6	21613725.2	19214333.3	37070698.1	15456972.9	0	0	0	0	0	3
20	3	0	0.5	20256127.4	21545845.3	19214333.3	37070698.1	15524852.8	0	0	0	0	0	3
21	3	0	0.525	20309485.2	20707784.7	19214333.3	24855503.9	5641170.63	0	0	0	0	0	3
22	3	0	0.55	20324700.4	20487926.5	19214333.3	24855503.9	5641170.63	0	0	0	0	0	3
23	3	0	0.575	20376516.9	20263977.1	19214333.3	23550571	4336237.73	0	0	0	0	0	3
24	3	0	0.6	20423261.7	20107611.6	19214333.3	20690219.8	1475886.52	0	0	0	0	0	3
25	4	0	0.625	20452803.2	20168061.4	19214333.3	20690219.8	1475886.52	0	0	0	0	0	3
26	4	0	0.65	20474006.7	20231045.1	19457613.8	20690219.8	1232606.04	0	0	0	0	0	3
27	4	0	0.675	20462821.9	20281305.5	19669546	20690219.8	1020673.87	0	0	0	0	0	3
28	4	0	0.7	20465940.1	20321125.2	19748194.3	20690219.8	942025.571	0	0	0	0	0	3
29	4	0	0.725	20498424	20343778.1	19748194.3	20690219.8	942025.571	0	0	0	0	0	3
30	4	0	0.75	20530826	20382909.7	20057834.6	20690219.8	632385.204	0	0	0	0	0	3
31	4	0	0.775	20544139.2	20375605.7	20057834.6	20662237	604402.335	0	0	0	0	0	3
32	4	0	0.8	20549145.7	20369951.1	20057834.6	20607196.8	549362.179	0	0	0	0	0	3
33	5	0	0.825	20563629.8	20367772.7	20057834.6	20563629.8	505795.18	0	0	0	0	0	3
34	5	0	0.85	20596982.9	20390397.2	20057834.6	20596982.9	539148.319	0	0	0	0	0	3
35	5	0	0.875	20629912.5	20411197.5	20057834.6	20629912.5	572077.896	0	0	0	0	0	3
36	5	0	0.9	20644721.3	20440541.8	20177422.1	20644721.3	467299.259	0	0	0	0	0	3
37	5	0	0.925	20650188.9	20459429.3	20177422.1	20650188.9	472766.845	0	0	0	0	0	3
38	5	0	0.95	20689830.7	20485049.7	20256127.4	20689830.7	433703.236	0	0	0	0	0	3
39	5	0	0.975	20702210.1	20507283.7	20256127.4	20702210.1	446082.711	0	0	0	0	0	3
40	5	0	1	20711995.7	20530077.2	20309485.2	20711995.7	402510.571	846175.595	0	100	0	0	3
41	6	0	1.025	20730938.6	20551149.8	20324700.4	20730938.6	406238.286	846175.595	0	100	0	0	3
42	6	0	1.05	20761964	20573013	20376516.9	20761964	385447.105	846175.595	0	100	0	0	3
43	6	0	1.075	20749195.1	20591646.9	20423261.7	20761964	338702.275	846175.595	0	100	0	0	3
44	6	0	1.1	20757829.6	20599560.4	20423261.7	20761964	338702.275	846175.595	0	100	0	0	3
45	6	0	1.125	20775729.4	20616344.6	20452803.2	20775729.4	322926.153	846175.595	0	100	0	0	3
46	6	0	1.15	20819456.9	20633804.3	20462821.9	20819456.9	356635.016	846175.595	0	100	0	0	3
47	6	0	1.175	20847216.2	20651576.1	20462821.9	20847216.2	370270.659	846175.595	0	100	0	0	3
48	6	0	1.2	20860100.3	20670494.2	20465940.1	20860100.3	349368.971	846175.595	0	100	0	0	3
49	7	0	1.225	20877589.4	20690096.5	20498424	20877589.4	346318.404	846175.595	0	100	0	0	3
50	7	0	1.25	20903848.1	20709402.4	20530826	20903848.1	341629.667	846175.595	0	100	0	0	3
51	7	0	1.275	20901627.1	20727059.6	20544139.2	20903848.1	359286.865	846175.595	0	100	0	0	3
52	7	0	1.3	20897933	20743906.9	20549145.7	20903848.1	354702.375	846175.595	0	100	0	0	3
53	7	0	1.325	20895281.8	20760389.6	20563629.8	20903848.1	340218.325	846175.595	0	100	0	0	3
54	7	0	1.35	20903575.6	20776577.5	20596982.9	20903848.1	306865.187	846175.595	0	100	0	0	3
55	8	0	1.375	20925263.6	20792209.9	20629912.5	20925263.6	295351.057	846175.595	0	100	0	0	3
56	8	0	1.4	20920989.7	20806070.7	20644721.3	20925263.6	280542.258	846175.595	0	100	0	0	3
57	8	0	1.425	20918271.4	20819096.9	20650188.9	20925263.6	275074.673	846175.595	0	100	0	0	3
58	8	0	1.45	20916241.1	20831766.1	20689830.7	20925263.6	235432.922	846175.595	0	100	0	0	3
59	8	0	1.475	20925501.1	20842988.5	20702210.1	20925501.1	223290.95	846175.595	0	100	0	0	3
60	8	0	1.5	20942824.5	20854446.3	20711995.7	20942824.5	230828.774	846175.595	0	100	0	0	3
61	8	0	1.525	20940333.4	20865319.5	20730938.6	20942824.5	211885.871	846175.595	0	100	0	0	3
62	8	0	1.55	20940491.7	20875298.2	20749195.1	20942824.5	193629.395	846175.595	0	100	0	0	3
63	9	0	1.575	20946951.6	20884107.2	20749195.1	20946951.6	197756.478	846175.595	0	100	0	0	3
64	9	0	1.6	20958940.6	20894095.1	20757829.6	20958940.6	201111.018	846175.595	0	100	0	0	3
65	9	0	1.625	20976903.2	20904527.1	20775729.4	20976903.2	201173.861	846175.595	0	100	0	0	3
66	9	0	1.65	20978290.2	20914172.9	20819456.9	20978290.2	158833.28	846175.595	0	100	0	0	3
67	9	0	1.675	20982149.6	20921920.2	20847216.2	20982149.6	134933.322	846175.595	0	100	0	0	3
68	9	0	1.7	20984295.6	20928447.7	20860100.3	20984295.6	124195.292	846175.595	0	100	0	0	3
69	9	0	1.725	20999388.2	20935080.5	20877589.4	20999388.2	121798.797	846175.595	0	100	0	0	3
70	9	0	1.75	21018871.4	20941808.2	20895281.8	21018871.4	123589.54	846175.595	0	100	0	0	3
71	10	0	1.775	21015570.4	20947128.3	20895281.8	21018871.4	123589.54	846175.595	0	100	0	0	3
72	10	0	1.8	21012536.1	20952409.7	20895281.8	21018871.4	123589.54	846175.595	0	100	0	0	3
73	10	0	1.825	21011995.3	20957841.2	20895281.8	21018871.4	123589.54	846175.595	0	100	0	0	3
74	10	0	1.85	21019857.2	20963773.4	20903575.6	21019857.2	116281.555	846175.595	0	100	0	0	3
75	10	0	1.875	21039078.8	20970225.9	20916241.1	21039078.8	122837.757	846175.595	0	100	0	0	3
76	10	0	1.9	21035477.3	20975474.2	20916241.1	21039078.8	122837.757	846175.595	0	100	0	0	3
77	10	0	1.925	21032303.8	20980774.9	20916241.1	21039078.8	122837.757	846175.595	0	100	0	0	3
78	10	0	1.95	21031968.9	20986189	20916241.1	21039078.8	122837.757	846175.595	0	100	0	0	3
79	11	0	1.975	21042583.9	20992205.4	20925501.1	21042583.9	117082.774	846175.595	0	100	0	0	3
80	11	0	2	21057737.1	20998502.3	20940333.4	21057737.1	117403.637	846175.595	0	100	0	0	3
81	11	0	2.025	21050688.2	21003638.7	20940333.4	21057737.1	117403.637	846175.595	0	100	0	0	3
82	11	0	2.05	21047974.9	21008764.5	20940491.7	21057737.1	117245.364	846175.595	0	100	0	0	3
83	11	0	2.075	21045128.6	21013747.2	20946951.6	21057737.1	110785.455	846175.595	0	100	0	0	3
84	11	0	2.1	21047868.5	21018552.7	20958940.6	21057737.1	98796.4847	846175.595	0	100	0	0	3
85	11	0	2.125	21060480.8	21023388	20976903.2	21060480.8	83577.602	846175.595	0	100	0	0	3
86	12	0	2.15	21051079.4	21026920.2	20978290.2	21060480.8	82190.6075	846175.595	0	100	0	0	3
87	12	0	2.175	21045480.8	21030119.7	20982149.6	21060480.8	78331.2814	846175.595	0	100	0	0	3
88	12	0	2.2	21043637.9	21033047.8	20984295.6	21060480.8	76185.2458	846175.595	0	100	0	0	3
89	12	0	2.225	21041096.5	21035752.6	20999388.2	21060480.8	61092.6668	846175.595	0	100	0	0	3
90	12	0	2.25	21053133.4	21038311.9	21011995.3	21060480.8	48485.5041	846175.595	0	100	0	0	3
91	12	0	2.275	21046485.7	21039626.8	21011995.3	21060480.8	48485.5041	846175.595	0	100	0	0	3
92	12	0	2.3	21037657.6	21040678.6	21011995.3	21060480.8	48485.5041	846175.595	0	100	0	0	3
