Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	18.8859859	18.8859859	18.8859859	18.8859859	0	0	0	0	0	0	3
2	1	0	0.05	18.2688237	18.5774048	18.2688237	18.8859859	0.308581116	0	0	0	0	0	3
3	1	0	0.075	17.707667	18.2874922	17.707667	18.8859859	0.598493712	0	0	0	0	0	3
4	1	0	0.1	17.1729639	18.0088601	17.1729639	18.8859859	0.877125801	0	0	0	0	0	3
5	1	0	0.125	16.7099934	17.7490868	16.7099934	18.8859859	1.13689916	0	0	0	0	0	3
6	1	0	0.15	18.7895408	17.9224958	16.7099934	18.8859859	1.13689916	0	0	0	0	0	3
7	1	0	0.175	20.0101451	18.2207314	16.7099934	20.0101451	1.13689916	0	0	0	0	0	3
8	1	0	0.2	15.9288616	17.9342477	15.9288616	20.0101451	1.13689916	0	0	0	0	0	3
9	2	0	0.225	16.8764642	17.8167162	15.9288616	20.0101451	1.13689916	0	0	0	0	0	3
10	2	0	0.25	17.8003838	17.815083	15.9288616	20.0101451	1.13689916	0	0	0	0	0	3
11	2	0	0.275	19.3779682	17.9571634	15.9288616	20.0101451	1.13689916	0	0	0	0	0	3
12	2	0	0.3	20.9591506	18.207329	15.9288616	20.9591506	1.13689916	0	0	0	0	0	3
13	2	0	0.325	22.1810029	18.5129962	15.9288616	22.1810029	1.13689916	0	0	0	0	0	3
14	2	0	0.35	23.0275046	18.8354611	15.9288616	23.0275046	1.13689916	0	0	0	0	0	3
15	2	0	0.375	23.7284479	19.1616603	15.9288616	23.7284479	1.41257346	0	0	0	0	0	3
16	2	0	0.4	24.7484672	19.5108357	15.9288616	24.7484672	1.7617489	0	0	0	0	0	3
17	3	0	0.425	25.4340261	19.8592586	15.9288616	25.4340261	2.11017186	0	0	0	0	0	3
18	3	0	0.45	25.5923788	20.1777653	15.9288616	25.5923788	2.42867854	0	0	0	0	0	3
19	3	0	0.475	25.4782831	20.4567399	15.9288616	25.5923788	2.70765315	0	0	0	0	0	3
20	3	0	0.5	25.5634508	20.7120755	15.9288616	25.5923788	2.9629887	0	0	0	0	0	3
21	3	0	0.525	25.3261836	21.0340854	15.9288616	25.5923788	3.28499858	0	0	0	0	0	3
22	3	0	0.55	26.7750646	21.4593974	15.9288616	26.7750646	3.71031063	0	0	0	0	0	3
23	3	0	0.575	25.7444192	21.861235	15.9288616	26.7750646	4.11214824	0	0	0	0	0	3
