Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	202.994998	202.994998	202.994998	202.994998	0	0	0	0	0	0	3
2	1	0	0.05	199.495909	201.245454	199.495909	202.994998	1.74954463	0	0	0	0	0	3
3	1	0	0.075	196.574668	199.688525	196.574668	202.994998	3.30647331	0	0	0	0	0	3
4	1	0	0.1	197.229958	199.073883	196.574668	202.994998	3.92111499	0	0	0	0	0	3
5	1	0	0.125	197.968209	198.852749	196.574668	202.994998	4.14224989	0	0	0	0	0	3
6	1	0	0.15	196.752223	198.502661	196.574668	202.994998	4.49233752	0	0	0	0	0	3
7	1	0	0.175	194.243024	197.894141	194.243024	202.994998	5.10085713	0	0	0	0	0	3
8	1	0	0.2	191.046565	197.038194	191.046565	202.994998	5.95680421	0	0	0	0	0	3
9	2	0	0.225	190.863601	196.352128	190.863601	202.994998	6.64287009	0	0	0	0	0	3
10	2	0	0.25	193.164375	196.033353	190.863601	202.994998	6.96164542	0	0	0	0	0	3
11	2	0	0.275	195.829144	196.014789	190.863601	202.994998	6.98020984	0	0	0	0	0	3
12	2	0	0.3	196.391802	196.046206	190.863601	202.994998	6.98020984	0	0	0	0	0	3
13	2	0	0.325	196.528552	196.08331	190.863601	202.994998	6.98020984	0	0	0	0	0	3
14	2	0	0.35	198.203476	196.23475	190.863601	202.994998	6.98020984	0	0	0	0	0	3
15	2	0	0.375	197.690422	196.331795	190.863601	202.994998	6.98020984	0	0	0	0	0	3
16	2	0	0.4	197.04224	196.376198	190.863601	202.994998	6.98020984	0	0	0	0	0	3
17	3	0	0.425	198.538443	196.503389	190.863601	202.994998	6.98020984	0	0	0	0	0	3
18	3	0	0.45	197.473099	196.557262	190.863601	202.994998	6.98020984	0	0	0	0	0	3
19	3	0	0.475	198.078928	196.637349	190.863601	202.994998	6.98020984	0	0	0	0	0	3
20	3	0	0.5	196.900619	196.650513	190.863601	202.994998	6.98020984	0	0	0	0	0	3
21	3	0	0.525	197.512281	196.376377	190.863601	199.495909	5.23066521	0	0	0	0	0	3
22	3	0	0.55	196.218928	196.212528	190.863601	198.538443	3.67373653	0	0	0	0	0	3
23	3	0	0.575	196.892763	196.228433	190.863601	198.538443	3.05909485	0	0	0	0	0	3
24	3	0	0.6	195.562875	196.145078	190.863601	198.538443	2.83795995	0	0	0	0	0	3
25	4	0	0.625	196.262991	196.059818	190.863601	198.538443	2.48787231	0	0	0	0	0	3
26	4	0	0.65	194.824711	195.963442	190.863601	198.538443	1.93069936	0	0	0	0	0	3
27	4	0	0.675	195.603308	196.031456	190.863601	198.538443	1.07475229	0	0	0	0	0	3
