Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	194835.173	194835.173	194835.173	194835.173	0	0	0	0	0	0	3
2	1	0	0.05	197822.107	196328.64	194835.173	197822.107	1493.46691	0	0	0	0	0	3
3	1	0	0.075	103310.072	165322.451	103310.072	197822.107	31006.1892	0	0	0	0	0	3
4	1	0	0.1	120989.228	154239.145	103310.072	197822.107	42089.4948	0	0	0	0	0	3
5	1	0	0.125	126603.686	148712.053	103310.072	197822.107	47616.5866	0	0	0	0	0	3
6	1	0	0.15	100270.346	140638.435	100270.346	197822.107	55690.2045	0	0	0	0	0	3
7	1	0	0.175	131658.385	139355.571	100270.346	197822.107	56973.0689	0	0	0	0	0	3
8	1	0	0.2	83655.8938	132393.111	83655.8938	197822.107	63935.5285	0	0	0	0	0	3
9	2	0	0.225	128223.198	131929.788	83655.8938	197822.107	64398.8523	0	0	0	0	0	3
10	2	0	0.25	61857.1321	124922.522	61857.1321	197822.107	71406.1179	0	0	0	0	0	3
11	2	0	0.275	111219.636	123676.805	61857.1321	197822.107	72651.8348	0	0	0	0	0	3
12	2	0	0.3	79895.8947	120028.396	61857.1321	197822.107	76300.244	0	0	0	0	0	3
13	2	0	0.325	103375.252	118747.385	61857.1321	197822.107	77581.2551	0	0	0	0	0	3
14	2	0	0.35	77076.4503	115770.89	61857.1321	197822.107	80557.7504	0	0	0	0	0	3
15	2	0	0.375	98946.9887	114649.296	61857.1321	197822.107	81679.3438	0	0	0	0	0	3
16	2	0	0.4	82852.3544	112661.987	61857.1321	197822.107	83666.6527	0	0	0	0	0	3
17	3	0	0.425	86468.9639	111121.221	61857.1321	197822.107	85207.4187	0	0	0	0	0	3
18	3	0	0.45	70521.5836	108865.686	61857.1321	197822.107	87462.9542	0	0	0	0	0	3
19	3	0	0.475	77781.5963	107229.681	61857.1321	197822.107	89098.9589	0	0	0	0	0	3
20	3	0	0.5	65759.7902	105156.187	61857.1321	197822.107	91172.4534	0	0	0	0	0	3
21	3	0	0.525	64517.2117	98640.2885	61857.1321	197822.107	97688.3515	0	0	0	0	0	3
