Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	293.193579	293.193579	293.193579	293.193579	0	0	0	0	0	0	3
2	1	0	0.05	293.195743	293.194661	293.193579	293.195743	0.00108205122	0	0	0	0	0	3
3	1	0	0.075	293.19677	293.195364	293.193579	293.19677	0.00178492515	0	0	0	0	0	3
4	1	0	0.1	293.19822	293.196078	293.193579	293.19822	0.00249894154	0	0	0	0	0	3
5	1	0	0.125	293.198567	293.196576	293.193579	293.198567	0.00299658608	0	0	0	0	0	3
6	1	0	0.15	293.199869	293.197125	293.193579	293.199869	0.00354541679	0	0	0	0	0	3
7	1	0	0.175	293.199741	293.197498	293.193579	293.199869	0.003919102	0	0	0	0	0	3
8	1	0	0.2	293.200044	293.197817	293.193579	293.200044	0.00423726974	0	0	0	0	0	3
9	2	0	0.225	293.198495	293.197892	293.193579	293.200044	0.00431266055	0	0	0	0	0	3
10	2	0	0.25	293.197561	293.197859	293.193579	293.200044	0.00431266055	0	0	0	0	0	3
11	2	0	0.275	293.193934	293.197502	293.193579	293.200044	0.00431266055	0	0	0	0	0	3
12	2	0	0.3	293.220139	293.199389	293.193579	293.220139	0.00580917836	0	0	0	0	0	3
13	2	0	0.325	293.233749	293.202032	293.193579	293.233749	0.00845225678	0	0	0	0	0	3
14	2	0	0.35	293.257769	293.206013	293.193579	293.257769	0.0124334799	0	0	0	0	0	3
15	2	0	0.375	293.270832	293.210334	293.193579	293.270832	0.0167547856	0	0	0	0	0	3
16	2	0	0.4	293.301443	293.216028	293.193579	293.301443	0.0224490939	0	0	0	0	0	3
17	3	0	0.425	293.328241	293.222629	293.193579	293.328241	0.0290498418	0	0	0	0	0	3
18	3	0	0.45	293.360429	293.230285	293.193579	293.360429	0.0367053855	0	0	0	0	0	3
19	3	0	0.475	293.387992	293.238585	293.193579	293.387992	0.0450057884	0	0	0	0	0	3
20	3	0	0.5	293.419984	293.247655	293.193579	293.419984	0.0540757523	0	0	0	0	0	3
21	3	0	0.525	293.460717	293.261012	293.193934	293.460717	0.0663505826	0	0	0	0	0	3
22	3	0	0.55	293.497458	293.276098	293.193934	293.497458	0.0807334331	0	0	0	0	0	3
23	3	0	0.575	293.528473	293.292683	293.193934	293.528473	0.0966045867	0	0	0	0	0	3
24	3	0	0.6	293.553632	293.310453	293.193934	293.553632	0.113877522	0	0	0	0	0	3
25	4	0	0.625	293.573821	293.329216	293.193934	293.573821	0.132091433	0	0	0	0	0	3
26	4	0	0.65	293.595951	293.34902	293.193934	293.595951	0.151521827	0	0	0	0	0	3
27	4	0	0.675	293.612011	293.369634	293.193934	293.612011	0.172131648	0	0	0	0	0	3
28	4	0	0.7	293.625296	293.390896	293.193934	293.625296	0.193394259	0	0	0	0	0	3
29	4	0	0.725	293.636032	293.412773	293.193934	293.636032	0.215271095	0	0	0	0	0	3
30	4	0	0.75	293.645491	293.43517	293.193934	293.645491	0.237667547	0	0	0	0	0	3
31	4	0	0.775	293.656579	293.458302	293.220139	293.656579	0.258913405	0	0	0	0	0	3
32	4	0	0.8	293.665884	293.480589	293.233749	293.665884	0.278557608	0	0	0	0	0	3
33	5	0	0.825	293.673984	293.502601	293.257769	293.673984	0.296588156	0	0	0	0	0	3
34	5	0	0.85	293.681517	293.523788	293.270832	293.681517	0.313454253	0	0	0	0	0	3
35	5	0	0.875	293.687649	293.544629	293.301443	293.687649	0.328600759	0	0	0	0	0	3
36	5	0	0.9	293.69564	293.564339	293.328241	293.69564	0.34170988	0	0	0	0	0	3
37	5	0	0.925	293.701733	293.583014	293.360429	293.701733	0.341303784	0	0	0	0	0	3
38	5	0	0.95	293.707103	293.600347	293.387992	293.707103	0.319110787	0	0	0	0	0	3
39	5	0	0.975	293.711849	293.61654	293.419984	293.711849	0.291865045	0	0	0	0	0	3
40	5	0	1	293.716069	293.631344	293.460717	293.716069	0.255352087	0.0783202387	0	0	0	0	3
41	6	0	1.025	293.721067	293.644362	293.497458	293.721067	0.223609198	0.0790699496	0	0	0	0	3
42	6	0	1.05	293.725797	293.655779	293.528473	293.725797	0.19732347	0.0794246812	0	0	0	0	3
43	6	0	1.075	293.729538	293.665832	293.553632	293.729538	0.175906425	0.0797299985	0	0	0	0	3
44	6	0	1.1	293.73389	293.669073	293.553632	293.73389	0.180257928	0.0800458385	0	0	0	0	3
45	6	0	1.125	293.737768	293.677841	293.573821	293.737768	0.163946181	0.0803516723	0	0	0	0	3
46	6	0	1.15	293.74198	293.685849	293.595951	293.74198	0.146029355	0.0806608699	0	0	0	0	3
47	6	0	1.175	293.745429	293.692967	293.612011	293.745429	0.133417583	0.0809556269	0	0	0	0	3
48	6	0	1.2	293.749227	293.699501	293.625296	293.749227	0.123930718	0.0812479094	0	0	0	0	3
49	7	0	1.225	293.751644	293.705518	293.636032	293.751644	0.115611892	0.0815155241	0	0	0	0	3
50	7	0	1.25	293.754559	293.711162	293.645491	293.754559	0.109068532	0.0817733449	0	0	0	0	3
51	7	0	1.275	293.756954	293.71647	293.656579	293.756954	0.100374961	0.0820169447	0	0	0	0	3
52	7	0	1.3	293.759803	293.721385	293.665884	293.759803	0.0939185355	0.0819280013	0	0	0	0	3
53	7	0	1.325	293.761556	293.725941	293.673984	293.761556	0.0875723336	0.0817159369	0	0	0	0	3
54	7	0	1.35	293.764013	293.730228	293.681517	293.764013	0.0824957166	0.0813031248	0	0	0	0	3
55	8	0	1.375	293.765194	293.734212	293.687649	293.765194	0.0775456986	0.0808265362	0	0	0	0	3
56	8	0	1.4	293.767492	293.738015	293.69564	293.767492	0.0718517229	0.0801440881	0	0	0	0	3
57	8	0	1.425	293.769366	293.741525	293.701733	293.769366	0.0676327344	0.0793220036	0	0	0	0	3
58	8	0	1.45	293.770704	293.74481	293.707103	293.770704	0.0636003223	0.07833418	0	0	0	0	3
59	8	0	1.475	293.772754	293.747936	293.711849	293.772754	0.0609041434	0.0783202387	0	0	0	0	3
60	8	0	1.5	293.772992	293.750847	293.716069	293.772992	0.0569232616	0.0783202387	0	0	0	0	3
61	8	0	1.525	293.774679	293.753638	293.721067	293.774679	0.0536114542	0.0783202387	0	0	0	0	3
62	8	0	1.55	293.776262	293.756267	293.725797	293.776262	0.0504649026	0.0783202387	0	0	0	0	3
63	9	0	1.575	293.778717	293.758787	293.729538	293.778717	0.0491783656	0.0783202387	0	0	0	0	3
64	9	0	1.6	293.778794	293.761132	293.73389	293.778794	0.0449045632	0.0783202387	0	0	0	0	3
65	9	0	1.625	293.780236	293.763339	293.737768	293.780236	0.0424687567	0.0783202387	0	0	0	0	3
66	9	0	1.65	293.782858	293.765486	293.74198	293.782858	0.0408781077	0.0783202387	0	0	0	0	3
67	9	0	1.675	293.782364	293.767409	293.745429	293.782858	0.0374293732	0.0783202387	0	0	0	0	3
68	9	0	1.7	293.78521	293.769304	293.749227	293.78521	0.0359834206	0.0783202387	0	0	0	0	3
69	9	0	1.725	293.786457	293.771077	293.751644	293.786457	0.0348133661	0.0783202387	0	0	0	0	3
70	9	0	1.75	293.788789	293.772845	293.754559	293.788789	0.0342303725	0.0783202387	0	0	0	0	3
71	10	0	1.775	293.78774	293.774425	293.756954	293.788789	0.0318356369	0.0783202387	0	0	0	0	3
72	10	0	1.8	293.789277	293.775965	293.759803	293.789277	0.0294738381	0.0783202387	0	0	0	0	3
73	10	0	1.825	293.789931	293.777399	293.761556	293.789931	0.0283741732	0.0783202387	0	0	0	0	3
74	10	0	1.85	293.790316	293.778769	293.764013	293.790316	0.0263035776	0.0783202387	0	0	0	0	3
75	10	0	1.875	293.790906	293.780049	293.765194	293.790906	0.0257118089	0.0783202387	0	0	0	0	3
76	10	0	1.9	293.792661	293.781357	293.767492	293.792661	0.025168826	0.0783202387	0	0	0	0	3
77	10	0	1.925	293.792408	293.782544	293.769366	293.792661	0.0232955107	0.0783202387	0	0	0	0	3
78	10	0	1.95	293.794444	293.783738	293.770704	293.794444	0.0237408033	0.0783202387	0	0	0	0	3
79	11	0	1.975	293.794745	293.784883	293.772754	293.794745	0.0219914092	0.0783202387	0	0	0	0	3
80	11	0	2	293.796631	293.78602	293.772992	293.796631	0.0236390206	0.0783202387	0	0	0	0	3
81	11	0	2.025	293.795506	293.787092	293.774679	293.796631	0.0219527553	0.0783202387	0	0	0	0	3
82	11	0	2.05	293.797017	293.788156	293.776262	293.797017	0.0207549905	0.0783202387	0	0	0	0	3
83	11	0	2.075	293.797177	293.789152	293.778717	293.797177	0.0184601189	0.0783202387	0	0	0	0	3
84	11	0	2.1	293.798174	293.790078	293.778794	293.798174	0.0193799501	0.0783202387	0	0	0	0	3
85	11	0	2.125	293.797681	293.790978	293.780236	293.798174	0.0179380971	0.0783202387	0	0	0	0	3
86	12	0	2.15	293.798601	293.791852	293.782364	293.798601	0.0162364972	0.0783202387	0	0	0	0	3
87	12	0	2.175	293.797746	293.792561	293.782364	293.798601	0.0162364972	0.0783202387	0	0	0	0	3
88	12	0	2.2	293.798668	293.793337	293.78521	293.798668	0.0134576428	0.0783202387	0	0	0	0	3
89	12	0	2.225	293.798232	293.793958	293.786457	293.798668	0.0122106682	0.0783202387	0	0	0	0	3
90	12	0	2.25	293.799548	293.794581	293.78774	293.799548	0.0118086794	0.0783202387	0	0	0	0	3
91	12	0	2.275	293.798266	293.795032	293.78774	293.799548	0.0118086794	0.0783202387	0	0	0	0	3
92	12	0	2.3	293.799519	293.795593	293.789277	293.799548	0.010271785	0.0783202387	0	0	0	0	3
