Iteration	CPUTime	PhysTime	Travels
1	0	0	0.025
2	1	0	0.05
3	1	0	0.075
4	1	0	0.1
5	1	0	0.125
6	1	0	0.15
7	1	0	0.175
8	1	0	0.2
9	2	0	0.225
10	2	0	0.25
11	2	0	0.275
12	2	0	0.3
13	2	0	0.325
14	2	0	0.35
15	2	0	0.375
16	2	0	0.4
17	3	0	0.425
18	3	0	0.45
19	3	0	0.475
20	3	0	0.5
21	3	0	0.525
22	3	0	0.55
23	3	0	0.575
24	3	0	0.6
25	4	0	0.625
26	4	0	0.65
27	4	0	0.675
28	4	0	0.7
29	4	0	0.725
30	4	0	0.75
31	4	0	0.775
32	4	0	0.8
33	5	0	0.825
34	5	0	0.85
35	5	0	0.875
36	5	0	0.9
37	5	0	0.925
38	5	0	0.95
39	5	0	0.975
40	5	0	1
41	6	0	1.025
42	6	0	1.05
43	6	0	1.075
44	6	0	1.1
45	6	0	1.125
46	6	0	1.15
47	6	0	1.175
48	6	0	1.2
49	7	0	1.225
50	7	0	1.25
51	7	0	1.275
52	7	0	1.3
53	7	0	1.325
54	7	0	1.35
55	8	0	1.375
56	8	0	1.4
57	8	0	1.425
58	8	0	1.45
59	8	0	1.475
60	8	0	1.5
61	8	0	1.525
62	8	0	1.55
63	9	0	1.575
64	9	0	1.6
65	9	0	1.625
66	9	0	1.65
67	9	0	1.675
68	9	0	1.7
69	9	0	1.725
70	9	0	1.75
71	10	0	1.775
72	10	0	1.8
73	10	0	1.825
74	10	0	1.85
75	10	0	1.875
76	10	0	1.9
77	10	0	1.925
78	10	0	1.95
79	11	0	1.975
80	11	0	2
81	11	0	2.025
82	11	0	2.05
83	11	0	2.075
84	11	0	2.1
85	11	0	2.125
86	12	0	2.15
87	12	0	2.175
88	12	0	2.2
89	12	0	2.225
90	12	0	2.25
91	12	0	2.275
92	12	0	2.3
